ADM3_PCODE,ADM0_EN,ADM0_FR,ADM0_RW,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_FR,ADM1_RW,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3ALT1EN
RW2604,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Ruhango,RW26,Kinazi,RW2604,
RW2605,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Ruhango,RW26,Kinihira,RW2605,
RW2606,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Ruhango,RW26,Mbuye,RW2606,
RW2607,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Ruhango,RW26,Mwendo,RW2607,
RW2608,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Ruhango,RW26,Ntongwe,RW2608,
RW2609,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Ruhango,RW26,Ruhango,RW2609,
RW2701,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Cyeza,RW2701,
RW2702,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Kabacuzi,RW2702,
RW2703,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Kibangu,RW2703,
RW2704,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Kiyumba,RW2704,
RW2705,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Muhanga,RW2705,
RW2706,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Mushishiro,RW2706,
RW2707,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Nyabinoni,RW2707,
RW2708,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Nyamabuye,RW2708,
RW2709,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Nyarusange,RW2709,
RW2710,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Rongi,RW2710,
RW2711,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Rugendabari,RW2711,
RW2712,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Shyogwe,RW2712,
RW2801,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Gacurabwenge,RW2801,
RW2802,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Karama,RW2802,
RW2803,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Kayenzi,RW2803,
RW2804,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Kayumbu,RW2804,
